id,created_at,updated_at,company_id,partner_id,consultant_id,status,is_outbound
1,1.59895591837478E+018,1.59895591837478E+018,385,4,4,successful,0
2,1.59910508251615E+018,1.59910508251615E+018,390,7,8,successful,0
3,1.5991052490064E+018,1.5991052490064E+018,387,7,8,successful,0
4,1.59910535693117E+018,1.59910535693117E+018,385,7,8,successful,0
5,1.59910557227238E+018,1.59910557227238E+018,331,8,9,successful,0
6,1.59910560742291E+018,1.59910560742291E+018,364,8,11,successful,0
7,1.59910563934526E+018,1.59921092975233E+018,362,8,11,successful,0
8,1.59910573481872E+018,1.59910573481872E+018,373,8,13,successful,0
9,1.59910578211531E+018,1.60754020011154E+018,394,8,14,disinterested,0
10,1.59912514944348E+018,1.59912514944348E+018,396,8,12,successful,0
11,1.59920394592391E+018,1.59920394592391E+018,401,7,8,successful,0
12,1.5992040179543E+018,1.60096213724366E+018,0,6,7,successful,0
13,1.59920404274908E+018,1.59920404274908E+018,0,6,7,successful,0
14,1.59946566485378E+018,1.59946566485378E+018,357,7,8,successful,0
15,1.59970170247385E+018,1.59970170247385E+018,0,7,8,successful,0
16,1.59970480728927E+018,1.59970480728927E+018,378,7,8,successful,0
17,1.5997913899138E+018,1.5997913899138E+018,437,7,8,successful,0
18,1.59982339838055E+018,1.59982339838055E+018,0,7,8,pending,0
19,1.60004971382257E+018,1.60004971382257E+018,444,6,7,successful,0
20,1.60004994618954E+018,1.60004994618954E+018,446,7,8,successful,0
21,1.60009608943953E+018,1.60009717595235E+018,0,2,16,successful,0
22,1.60013936061335E+018,1.60013936061335E+018,457,7,8,successful,0
23,1.60014118674164E+018,1.60014118674164E+018,330,7,8,successful,0
24,1.60014220885658E+018,1.60014220885658E+018,433,7,8,successful,0
25,1.6001434367717E+018,1.60096213665196E+018,325,6,7,successful,0
26,1.60014625028867E+018,1.60014632643364E+018,0,10,17,successful,0
27,1.60014720098963E+018,1.60014720098963E+018,345,9,19,successful,0
28,1.60015632068418E+018,1.60015632068418E+018,388,7,8,successful,0
29,1.60031204901685E+018,1.60031204901685E+018,0,6,7,successful,0
30,1.60031254064925E+018,1.60096213647074E+018,304,6,7,successful,0
31,1.60031258615685E+018,1.60031258615685E+018,233,7,8,successful,0
32,1.60031323213198E+018,1.60031323213198E+018,245,13,24,successful,0
33,1.60031325180381E+018,1.60031325180381E+018,246,13,24,successful,0
34,1.60031327118214E+018,1.60096213583434E+018,260,7,8,successful,0
35,1.600313300979E+018,1.600313300979E+018,261,7,8,successful,0
36,1.60031351055451E+018,1.60031351055451E+018,300,2,3,successful,0
