,gender,age,id,became_member_on,income
0,,118,68be06ca386d4c31939f3a4f0e3dd783,20170212,
1,F,55,0610b486422d4921ae7d2bf64640c50b,20170715,112000.0
2,,118,38fe809add3b4fcf9315a9694bb96ff5,20180712,
3,F,75,78afa995795e4d85b5d9ceeca43f5fef,20170509,100000.0
4,,118,a03223e636434f42ac4c3df47e8bac43,20170804,
5,M,68,e2127556f4f64592b11af22de27a7932,20180426,70000.0
6,,118,8ec6ce2a7e7949b1bf142def7d0e0586,20170925,
7,,118,68617ca6246f4fbc85e91a2a49552598,20171002,
8,M,65,389bc3fa690240e798340f5a15918d5c,20180209,53000.0
9,,118,8974fc5686fe429db53ddde067b88302,20161122,
10,,118,c4863c7985cf408faee930f111475da3,20170824,
11,,118,148adfcaa27d485b82f323aaaad036bd,20150919,
12,M,58,2eeac8d8feae4a8cad5a6af0499a211d,20171111,51000.0
13,F,61,aa4862eba776480b8bb9c68455b8c2e1,20170911,57000.0
14,M,26,e12aeaf2d47d42479ea1c4ac3d8286c6,20140213,46000.0
15,F,62,31dda685af34476cad5bc968bdb01c53,20160211,71000.0
16,M,49,62cf5e10845442329191fc246e7bcea3,20141113,52000.0
17,,118,744d603ef08c4f33af5a61c8c7628d1c,20170801,
18,M,57,6445de3b47274c759400cd68131d91b4,20171231,42000.0
19,F,61,a448667f336b42c9a66fc5ffd5d73772,20180501,40000.0
20,F,40,440cf1fd7580490c971d8c651ed962af,20160504,71000.0
21,M,64,4b0da7e80e5945209a1fdddfe813dbe0,20170909,100000.0
22,F,78,c27e0d6ab72c455a8bb66d980963de60,20170616,71000.0
23,,118,2b826eba31074a059d63b0ae8f50b7d5,20170907,
24,M,42,f806632c011441378d4646567f357a21,20130811,69000.0
25,F,56,d058f73bf8674a26a95227db098147b1,20180428,88000.0
26,,118,65aba5c617294649aeb624da249e1ee5,20170330,
27,F,33,c6c9884912c645429f3333f912b55f44,20170926,52000.0
28,F,46,7429a044884842d6862f516c38b1156f,20170911,59000.0
29,M,59,ebe7ef46ea6f4963a7dd49f501b26779,20150121,41000.0
30,M,67,5917d13f6fa04286abdf95f4d5cefb1e,20140823,96000.0
31,O,53,d1ede868e29245ea91818a903fec04c6,20170916,52000.0
32,M,22,1e9420836d554513ab90eba98552d0a9,20170925,70000.0
33,F,96,868317b9be554cb18e50bc68484749a2,20171117,89000.0
34,M,40,f082d80f0aac47a99173ba8ef8fc1909,20160709,33000.0
35,F,69,102e9454054946fda62242d2e176fdce,20160814,57000.0
36,,118,4beeb3ed64dd4898b0edf2f6b67426d3,20160707,
37,M,56,8dabe2142cdf4013a6f4786edf8ab00f,20140511,68000.0
38,F,26,9f30b375d7bd4c62a884ffe7034e09ee,20170812,63000.0
39,,118,25c906289d154b66bf579693f89481c9,20180113,
40,M,75,6e014185620b49bd98749f728747572f,20151112,40000.0
41,F,20,02c083884c7d45b39cc68e1314fec56c,20160711,30000.0
42,M,45,c0d210398dee4a0895b24444a5fcd1d2,20180707,33000.0
43,M,61,8b70ca1f5f5a45bdac2ac2f990b71526,20171121,98000.0
44,,118,5b8f1f0e0930464f93bb55e59b5a04e0,20141111,
45,,118,8be4463721e14d7fa600686bf8c8b2ed,20170511,
46,F,69,8e7c7465e98c43d8a01f51e2b5c29542,20130918,37000.0
47,F,54,57dd18ec5ddc46828afb81ec5977bef2,20170207,80000.0
48,M,39,be8a5d1981a2458d90b255ddc7e0d174,20140527,51000.0
49,F,41,3f89b8f80ebc4f94b7074f28071aa8d4,20150921,41000.0
50,F,79,a3b9b4bf115e4564933ea2e4bc936843,20150415,48000.0
51,F,66,7584948ea6d04f94b8798624706261c2,20180408,38000.0
52,F,56,e9844d5beac04bf8b8d3ad18f7e37fca,20170626,52000.0
53,F,39,f247806381704ea58c1b06f60602a6ae,20140723,56000.0
54,,118,81ac76e4f2fe4a6bb5ebdc0f19cecc56,20170528,
55,M,42,9fa9ae8f57894cc9a3b8a9bbe0fc1b2f,20160117,96000.0
56,,118,020d3a52b9ce432ea5f98fc58e9bfcc4,20171013,
57,,118,4be1127413db496d8103c783ae72058b,20151220,
58,F,78,fe8264108d5b4f198453bbb1fa7ca6c9,20161009,93000.0
59,M,45,186d6403f5824c739555b732f4af3f16,20171006,48000.0
60,M,29,8a87fda1a6644337b4394a4c3cd0946c,20160430,50000.0
61,M,44,b7a66e629b134079a9bc7120c7b9947b,20170924,35000.0
62,M,63,ca82e1ebc759402c8ab95c341755bdf1,20180713,56000.0
63,M,36,54890f68699049c2a04d415abc25e717,20171228,56000.0
64,F,76,ab66a363907e43e9a7cd535f1578245b,20180314,47000.0
65,M,68,d3f146b615514c6380b168bb3df5f05b,20170823,87000.0
66,M,75,a5a6ef2b78a04ddc9f374dd7c7f60bff,20151129,52000.0
67,M,67,2e87ba0fba1a4d1a8614af771f07a94d,20170226,76000.0
68,M,77,d8af520c4a8a4c77b921098d7d838c4d,20160730,51000.0
69,M,76,39dbcf43e24d41f4bbf0f134157e0e1e,20140831,64000.0
70,M,57,b62e66ca4dcf4df39fd522e750a88d81,20180207,98000.0
71,F,53,8c7df0c393db488aac3e58b06a7ea5f9,20160706,72000.0
72,F,53,3a1242dda16248728e350c4bdeb21972,20161231,117000.0
73,F,53,8045834137dc47faa24f2c4547969f33,20171026,55000.0
74,F,61,fb98ebe9e3e14afaa5b5db182b00b7ec,20171110,112000.0
75,F,67,5cd6577aca5d4b419e452f9f505ffce7,20160910,77000.0
76,F,58,99e9a1916821461ebd5d5048dc2dff7d,20180125,85000.0
77,F,46,e528ceb341964128aaf58a59733ec2af,20180629,36000.0
78,M,30,faf74115a43b4f718f4d4c0de116ee8a,20171202,41000.0
